id_product;product_name;amount;purchase_price;selling_price
6;"Грунт универсальный 3кг ""START-СТРОИТЕЛЬ"" 6шт ""Сай";86;88.24;119.80
7;"Грунт универсальный 5кг ""START-СТРОИТЕЛЬ"" 4шт ""Сай";42;131.92;185.75
8;"Грунтовка 3кг БЕТОН-КОНТАКТ ""START"" ""Сайвер""";10;257.99;335.60
9;"Грунтовка 6кг БЕТОН-КОНТАКТ ""START"" ""Сайвер""";2;504.23;649.80
10;"Колер №03 (бежевый) 100гр ""УЗОР"" Сайвер (6шт)";50;17.00;26.90
11;"Колер №06 (апельсиновый ) 100гр ""УЗОР"" Сайвер (6шт";132;18.71;26.90
12;"Колер №07 (темно-красный ) 100гр ""УЗОР"" Сайвер (6ш";108;18.71;26.90
13;"Колер №08 ( красно-коричневый) 100гр ""START"" Сайве";4;25.02;33.90
14;"Колер №08 (красно-коричневый) 100гр ""УЗОР"" Сайвер";105;18.71;26.90
15;"Колер №09 (светло-коричневый ) 100гр ""УЗОР"" Сайвер";42;17.00;25.90
16;"Колер №09 (светло-коричневый )100гр ""START"" Сайвер";6;25.02;33.90
17;"Колер №10 (ярко-желтый) 100гр ""УЗОР"" Сайвер (6шт)";101;18.71;26.90
18;"Колер №11( желто-коричневый) 100гр  ""START"" Сайвер";11;25.02;33.90
19;"Колер №11( желто-коричневый) 100гр ""УЗОР"" Сайвер (";102;17.00;25.90
20;"Колер №13 (салатный) 100гр ""УЗОР"" Сайвер (6шт)";101;18.71;26.90
21;"Колер №14 (фисташковый) 100гр ""УЗОР"" Сайвер (6шт)";96;18.71;26.90
22;"Колер №16 (изумруд) 100гр ""УЗОР"" Сайвер (6шт)";84;18.71;26.90
23;"Колер №17 (синий) 100гр ""УЗОР"" Сайвер (6шт)";103;18.71;26.90
24;"Колер №18 (черный) 100гр ""УЗОР"" Сайвер (6шт)";107;18.71;26.90
25;"Колер №19 (розовый) 100гр ""УЗОР"" Сайвер (6шт)";102;18.71;26.90
26;"Колер №20 (сиреневый ) 100гр ""УЗОР"" Сайвер (6шт)";15;17.00;26.90
27;"Колер №20 (сиреневый )100гр ""START"" Сайвер(6шт)";2;25.02;33.90
28;"Колер №21 (темно-коричневый) 100гр ""УЗОР"" Сайвер (";29;17.00;25.90
29;"Колер №23 (коралл) 100гр ""УЗОР"" Сайвер (6шт)";95;18.71;26.90
30;"Колер №25 (персик) 100гр ""УЗОР"" Сайвер (6шт)";102;18.71;26.90
31;"Колер №26 (серо-голубой) 100гр ""УЗОР"" Сайвер (6шт)";54;17.00;25.90
32;"Колер №26 (серо-голубой)100гр ""START"" Сайвер(6шт)";4;25.02;33.90
33;"Колер №27 (зеленый) 100гр ""УЗОР"" Сайвер (6шт)";102;18.71;26.90
34;"Колер №28 (слива) 100гр ""УЗОР"" Сайвер (6шт)";108;18.71;26.90
35;"Колер №29 (верблюжка) 100гр ""УЗОР"" Сайвер (6шт)";39;17.00;25.90
36;"Краска В/Д 14кг д/потолков белая ""START-СТРОИТЕЛЬ""";12;345.83;485.60
37;"Краска В/Д 14кг д/потолков белоснежная ""START"" ""Са";21;447.91;619.80
38;"Краска В/Д 14кг д/фасадов белоснежная ""START"" ""Сай";20;925.39;1 195.80
39;"Краска В/Д 14кг интерьерная белая ""START-СТРОИТЕЛЬ";6;451.25;595.80
40;"Краска В/Д 14кг интерьерная белоснежная ""START"" ""С";121;510.94;659.80
41;"Краска В/Д 14кг моющаяся белоснежная ""START"" ""Сайв";19;789.71;999.80
42;"Краска В/Д 1кг д/потолков белоснежная ""START"" ""Сай";60;55.65;73.80
43;"Краска В/Д 1кг д/фасадов ""START"" ""Сайвер""";45;80.16;105.80
44;"Краска В/Д 1кг для окон и дверей ""START"" супербела";18;168.46;225.80
45;"Краска В/Д 1кг интерьерная белоснежная ""START"" ""Са";84;56.12;75.80
46;"Краска В/Д 1кг моющаяся белоснежная ""START"" ""Сайве";29;76.25;99.00
47;"Краска В/Д 3кг д/потолков белая ""START-СТРОИТЕЛЬ""";28;101.76;145.80
48;"Краска В/Д 3кг д/потолков белоснежная ""START"" ""Сай";57;139.08;189.75
49;"Краска В/Д 3кг д/фасадов белоснежная ""START"" ""Сайв";56;227.34;295.80
50;"Краска В/Д 3кг интерьерная белая ""START-СТРОИТЕЛЬ""";54;108.11;159.80
51;"Краска В/Д 3кг интерьерная белоснежная START"" ""Сай";104;141.12;189.75
52;"Краска В/Д 3кг моющаяся белоснежная ""START"" ""Сайве";92;197.67;259.80
53;"Краска В/Д 7кг д/потолков белоснежная ""START"" ""Сай";34;243.17;339.80
54;"Краска В/Д 7кг д/фасадов белоснежная ""START"" ""Сайв";40;483.34;635.80
55;"Краска В/Д 6кг д/фасадов белоснежная ""START"" ""Сайв";40;483.34;635.80